"site","year","Ntotal_bestEst","avg_Ntotal_bestEst"
"Cabatoan",2016,171.942857142857,171.942857142857
"Gabas",2017,36.4,36.4
"Hicgop South",2018,62.1176470588235,62.1176470588235
"Palanas",2016,487.685052325352,385.5890703121
"Palanas",2017,328.54571946129,385.5890703121
"Palanas",2018,340.536439149658,385.5890703121
"Poroc Rose",2016,385.714285714286,210.38961038961
"Poroc Rose",2017,35.0649350649351,210.38961038961
"Poroc San Flower",2016,38.8888888888889,45.3703703703704
"Poroc San Flower",2017,51.8518518518518,45.3703703703704
"San Agustin",2018,123.076923076923,123.076923076923
"Sitio Baybayon",2018,1297.12619406737,1297.12619406737
"Visca",2017,66.5,66.5
"Wangag",2016,3314.36046511628,3314.36046511628
