"site","Ntotal_bestEst"
"Cabatoan",571.457142857143
"Caridad Cemetery",89.4444777807302
"Caridad Proper",33.5416791677738
"Elementary School",184.479235422756
"Gabas",62.4
"Haina",1129.23653198172
"Hicgop South",310.588235294118
"Magbangon",1738.57703686294
"Palanas",2215.68720067789
"Poroc Rose",750
"Poroc San Flower",185.185185185185
"San Agustin",498.461538461538
"Sitio Baybayon",3745.90648567119
"Sitio Lonas",11.1805597225913
"Sitio Tugas",44.7222388903651
"Tamakin Dacot",419.270989597173
"Visca",343
"Wangag",20129.4186046512
