"site","year","n_captured_fish"
"Cabatoan",2012,2
"Cabatoan",2013,6
"Cabatoan",2014,14
"Cabatoan",2015,19
"Cabatoan",2016,21
"Cabatoan",2018,6
"Caridad Cemetery",2013,2
"Caridad Cemetery",2017,5
"Caridad Proper",2013,4
"Elementary School",2013,16
"Elementary School",2014,4
"Elementary School",2015,2
"Elementary School",2016,2
"Elementary School",2017,6
"Elementary School",2018,2
"Gabas",2015,1
"Gabas",2016,1
"Gabas",2017,10
"Haina",2013,7
"Haina",2014,4
"Haina",2015,6
"Haina",2016,4
"Haina",2017,19
"Haina",2018,14
"Hicgop South",2013,7
"Hicgop South",2014,4
"Hicgop South",2015,4
"Hicgop South",2016,1
"Hicgop South",2017,8
"Hicgop South",2018,2
"N. Magbangon",2012,1
"N. Magbangon",2013,14
"N. Magbangon",2014,38
"N. Magbangon",2015,20
"N. Magbangon",2016,63
"Palanas",2012,4
"Palanas",2013,77
"Palanas",2014,52
"Palanas",2015,23
"Palanas",2016,32
"Palanas",2017,49
"Palanas",2018,18
"Poroc Rose",2012,10
"Poroc Rose",2013,11
"Poroc Rose",2014,6
"Poroc Rose",2015,3
"Poroc Rose",2016,4
"Poroc Rose",2017,9
"Poroc Rose",2018,1
"Poroc San Flower",2012,10
"Poroc San Flower",2013,9
"Poroc San Flower",2014,5
"Poroc San Flower",2015,6
"Poroc San Flower",2016,5
"Poroc San Flower",2017,1
"Poroc San Flower",2018,1
"S. Magbangon",2012,11
"S. Magbangon",2013,15
"S. Magbangon",2014,8
"S. Magbangon",2016,17
"S. Magbangon",2018,5
"San Agustin",2012,7
"San Agustin",2013,12
"San Agustin",2014,10
"San Agustin",2015,2
"San Agustin",2016,8
"San Agustin",2017,9
"Sitio Baybayon",2013,25
"Sitio Baybayon",2014,38
"Sitio Baybayon",2015,32
"Sitio Baybayon",2016,30
"Sitio Baybayon",2017,60
"Sitio Baybayon",2018,46
"Sitio Lonas",2012,1
"Sitio Lonas",2013,1
"Sitio Tugas",2013,5
"Tamakin Dacot",2013,7
"Tamakin Dacot",2014,5
"Tamakin Dacot",2015,10
"Tamakin Dacot",2016,4
"Tamakin Dacot",2017,13
"Tamakin Dacot",2018,7
"Visca",2012,1
"Visca",2013,17
"Visca",2014,1
"Visca",2015,3
"Visca",2016,1
"Visca",2017,9
"Visca",2018,2
"Wangag",2012,16
"Wangag",2013,58
"Wangag",2014,93
"Wangag",2015,35
"Wangag",2016,38
"Wangag",2017,41
"Wangag",2018,33
