"site","year","prop_habitat_sampled","n_captured_fish","mean_prob_r","Ntotal_bestEst"
"Cabatoan",2012,0.715384615384615,13,0.555555555555556,32.7096774193548
"San Agustin",2012,0.798245614035088,11,0.625,22.0483516483516
"Sitio Lonas",2012,1,1,0.559041040658688,1.78877743720167
"Palanas",2012,0.786713286713287,39,0.427124183006536,116.063045141546
"Poroc San Flower",2012,0.757575757575758,7,0.75,12.32
"S. Magbangon",2012,0.572222222222222,18,0.559041040658688,56.2683388012951
"Poroc Rose",2012,0.67948717948718,11,0.544444444444444,29.7343088178668
"Wangag",2012,0.489761092150171,44,0.2,449.198606271777
"N. Magbangon",2012,0.445714285714286,5,0.559041040658688,20.066413558352
"Cabatoan",2013,0.576923076923077,13,0.555555555555556,40.56
"Cabatoan",2014,0.576923076923077,17,0.555555555555556,53.04
"Cabatoan",2015,1,23,0.555555555555556,41.4
"Cabatoan",2016,0.807692307692308,34,0.555555555555556,75.7714285714286
"Cabatoan",2018,0.615384615384615,13,0.555555555555556,38.025
"Caridad Cemetery",2013,0.75,5,0.559041040658688,11.9251829146778
"Caridad Cemetery",2014,0.5,4,0.559041040658688,14.3102194976133
"Caridad Cemetery",2015,0.25,NA,0.559041040658688,NA
"Caridad Cemetery",2016,0.5,3,0.559041040658688,10.73266462321
"Caridad Cemetery",2017,0.5,4,0.559041040658688,14.3102194976133
"Caridad Cemetery",2018,0.5,NA,0.559041040658688,NA
"Caridad Proper",2013,1,6,0.559041040658688,10.73266462321
"Elementary School",2013,1,5,0.559041040658688,8.94388718600833
"Elementary School",2014,0.375,2,0.559041040658688,9.54014633174222
"Elementary School",2015,1,8,0.559041040658688,14.3102194976133
"Elementary School",2016,0.875,6,0.559041040658688,12.2659024265257
"Elementary School",2017,0.875,6,0.559041040658688,12.2659024265257
"Elementary School",2018,1,6,0.559041040658688,10.73266462321
"Gabas",2015,0.555555555555556,4,0.833333333333333,8.64
"Gabas",2016,0.444444444444444,6,0.833333333333333,16.2
"Gabas",2017,0.666666666666667,14,0.833333333333333,25.2
"Haina",2013,0.058252427184466,7,0.559041040658688,214.951422037067
"Haina",2014,0.135922330097087,12,0.559041040658688,157.923493741519
"Haina",2015,0.456310679611651,11,0.559041040658688,43.1209539648827
"Haina",2016,0.0970873786407767,13,0.559041040658688,239.517298841303
"Haina",2017,0.563106796116505,69,0.559041040658688,219.186918037797
"Haina",2018,0.815533980582524,91,0.559041040658688,199.597749034419
"Hicgop South",2013,0.631578947368421,12,0.333333333333333,57
"Hicgop South",2014,0.263157894736842,4,0.333333333333333,45.6
"Hicgop South",2015,0.473684210526316,4,0.333333333333333,25.3333333333333
"Hicgop South",2016,0.578947368421053,12,0.333333333333333,62.1818181818182
"Hicgop South",2017,0.789473684210526,13,0.333333333333333,49.4
"Hicgop South",2018,0.894736842105263,11,0.333333333333333,36.8823529411765
"N. Magbangon",2013,0.123809523809524,5,0.559041040658688,72.2390888100673
"N. Magbangon",2014,0.4,15,0.559041040658688,67.0791538950625
"N. Magbangon",2015,1,67,0.559041040658688,119.848088292512
"N. Magbangon",2016,0.657142857142857,105,0.559041040658688,285.815525292005
"N. Magbangon",2018,0.0476190476190476,5,0.559041040658688,187.821630906175
"S. Magbangon",2013,0.527777777777778,27,0.559041040658688,91.510087840001
"S. Magbangon",2014,0.305555555555556,5,0.559041040658688,29.2709035178454
"S. Magbangon",2015,0.75,NA,0.559041040658688,NA
"S. Magbangon",2016,0.611111111111111,43,0.559041040658688,125.864885126735
"S. Magbangon",2018,0.666666666666667,20,0.559041040658688,53.66332311605
"Palanas",2013,0.552447552447552,56,0.427124183006536,237.324629792839
"Palanas",2014,0.468531468531469,35,0.427124183006536,174.894083522708
"Palanas",2015,0.972027972027972,77,0.427124183006536,185.463222383073
"Palanas",2016,0.916083916083916,95,0.427124183006536,242.791895664566
"Palanas",2017,0.853146853146853,71,0.427124183006536,194.841019980684
"Palanas",2018,0.958041958041958,55,0.427124183006536,134.407653343311
"Poroc Rose",2013,1,10,0.544444444444444,18.3673469387755
"Poroc Rose",2014,0.692307692307692,3,0.544444444444444,7.95918367346939
"Poroc Rose",2015,0.615384615384615,NA,0.544444444444444,NA
"Poroc Rose",2016,0.230769230769231,18,0.544444444444444,143.265306122449
"Poroc Rose",2017,0.846153846153846,6,0.544444444444444,13.0241187384045
"Poroc Rose",2018,0.692307692307692,7,0.544444444444444,18.5714285714286
"Poroc San Flower",2013,0.818181818181818,6,0.75,9.77777777777778
"Poroc San Flower",2014,0.727272727272727,6,0.75,11
"Poroc San Flower",2015,1,NA,0.75,NA
"Poroc San Flower",2016,0.545454545454545,7,0.75,17.1111111111111
"Poroc San Flower",2017,0.818181818181818,14,0.75,22.8148148148148
"Poroc San Flower",2018,0.636363636363636,NA,0.75,NA
"San Agustin",2013,0.578947368421053,8,0.625,22.1090909090909
"San Agustin",2014,0.684210526315789,12,0.625,28.0615384615385
"San Agustin",2015,0.947368421052632,8,0.625,13.5111111111111
"San Agustin",2016,1,5,0.625,8
"San Agustin",2017,0.894736842105263,17,0.625,30.4
"San Agustin",2018,0.684210526315789,20,0.625,46.7692307692308
"Sitio Baybayon",2013,0.141221374045802,40,0.409090909090909,692.372372372372
"Sitio Baybayon",2014,0.297709923664122,81,0.409090909090909,665.076923076923
"Sitio Baybayon",2015,1,116,0.409090909090909,283.555555555556
"Sitio Baybayon",2016,0.301526717557252,64,0.409090909090909,518.841068917018
"Sitio Baybayon",2017,0.408396946564886,108,0.409090909090909,646.429906542056
"Sitio Baybayon",2018,0.843511450381679,214,0.409090909090909,620.158873805933
"Sitio Lonas",2013,1,1,0.559041040658688,1.78877743720167
"Sitio Tugas",2013,1,8,0.559041040658688,14.3102194976133
"Tamakin Dacot",2013,0.244897959183673,4,0.559041040658688,29.2166981409605
"Tamakin Dacot",2014,0.224489795918367,4,0.559041040658688,31.8727616083206
"Tamakin Dacot",2015,0.469387755102041,7,0.559041040658688,26.6761156939205
"Tamakin Dacot",2016,0.346938775510204,11,0.559041040658688,56.7147669795117
"Tamakin Dacot",2017,0.63265306122449,20,0.559041040658688,56.5484480147623
"Tamakin Dacot",2018,0.714285714285714,27,0.559041040658688,67.615787126223
"Visca",2012,1,21,1,21
"Visca",2013,1,16,1,16
"Visca",2014,0.230769230769231,3,1,13
"Visca",2015,0.384615384615385,8,1,20.8
"Visca",2016,0.615384615384615,10,1,16.25
"Visca",2017,0.923076923076923,19,1,20.5833333333333
"Visca",2018,0.615384615384615,17,1,27.625
"Wangag",2013,0.324232081911263,67,0.2,1033.21052631579
"Wangag",2014,0.419795221843003,30,0.2,357.317073170732
"Wangag",2015,0.716723549488055,84,0.2,586
"Wangag",2016,0.303754266211604,109,0.2,1794.21348314607
"Wangag",2017,0.474402730375427,124,0.2,1306.90647482014
"Wangag",2018,0.699658703071672,204,0.2,1457.85365853659
